a,b,c,d,"weight
(g)","caulking
load(kN)","Contact 
pressure(MPa)","Tilting
torque(Nm)","Rotational
torque(Nm)","Pull-out
load(kN)",necking
12.2,30,20,45,219.2212,228.376,94.69,2.539,3.407,57.8428,0
12.2,30,22.5,45,218.2379,227.836,96.61,2.432,3.346,61.5132,0
12.2,30,25,45,217.2546,226.001,96.13,2.352,3.249,60.5602,0
12.2,31.2,20,45,223.7173,282.009,110.6,3.183,4.169,72.946,0
12.2,31.2,22.5,45,222.7723,282.326,108.1,3.018,3.982,73.2297,0
12.2,31.2,25,45,221.789,276.624,108.9,3.112,4.12,72.9983,0
12.2,32.4,20,45,228.2899,339.964,112.3,3.339,4.211,82.3284,1
12.2,32.4,22.5,45,227.3066,337.182,108.9,3.111,3.935,82.244,1
12.2,32.4,25,45,226.3234,325.315,114.6,3.262,4.213,82.3679,1
12.2,30,20,40,216.0148,215.173,67.35,1.558,1.788,58.9449,0
12.2,30,22.5,40,215.0315,214.978,65.82,1.405,1.646,60.2963,0
12.2,30,25,40,214.0482,213.988,66.12,1.408,1.667,57.4925,0
12.2,31.2,20,40,220.5492,257.443,81.06,1.848,2.106,74.0969,0
12.2,31.2,22.5,40,219.5659,257.523,81.24,1.706,1.957,74.0447,0
12.2,31.2,25,40,218.5826,253.182,82.87,1.755,2.047,74.3937,0
12.2,32.4,20,40,225.0836,305.889,83.61,1.992,2.231,82.3692,1
12.2,32.4,22.5,40,224.1003,303.411,81.52,1.921,2.151,82.1864,1
12.2,32.4,25,40,223.117,292.888,91.64,2.064,2.304,82.2491,1
12.2,30,20,35,213.28,210.259,53.29,1.193,1.321,58.4803,0
12.2,30,22.5,35,212.2967,208.437,49.68,1.008,1.135,60.3165,0
12.2,30,25,35,211.3134,206.67,48.54,0.958,1.091,59.9617,0
12.2,31.2,20,35,217.8144,248.1,59.29,1.257,1.384,72.8328,0
12.2,31.2,22.5,35,216.8311,248.849,57.91,1.185,1.305,72.3256,0
12.2,31.2,25,35,215.8478,243.058,60.46,1.234,1.376,71.8538,0
12.2,32.4,20,35,222.3487,292.576,73.76,1.474,1.585,82.2953,1
12.2,32.4,22.5,35,221.3655,291.699,74.24,1.27,1.508,82.3821,1
12.2,32.4,25,35,220.3822,281.444,74.72,1.512,1.593,82.3142,1
12.4,30,20,45,219.2212,220.518,85.89,2.309,3.05,58.5956,0
12.4,30,22.5,45,218.2379,221.125,86.6,2.131,2.882,59.0361,0
12.4,30,25,45,217.2546,221.292,87.5,2.113,2.873,57.5786,0
12.4,31.2,20,45,223.7173,270.31,100.4,2.924,3.801,72.5765,0
12.4,31.2,22.5,45,222.7723,271.281,98.56,2.854,3.724,71.3013,0
12.4,31.2,25,45,221.789,267.307,101.4,2.791,3.69,71.3271,0
12.4,32.4,20,45,228.2899,321.774,107.9,3.011,3.775,82.2687,1
12.4,32.4,22.5,45,227.3066,323.131,107.1,2.881,3.628,82.3998,1
12.4,32.4,25,45,226.3234,310.781,107.9,2.916,3.736,82.1138,1
12.4,30,20,40,216.0148,207.796,57.11,1.234,1.389,57.6143,0
12.4,30,22.5,40,215.0315,207.327,55.92,1.095,1.258,58.677,0
12.4,30,25,40,214.0482,205.717,53.22,1.02,1.174,56.6301,0
12.4,31.2,20,40,220.5492,246.847,68.94,1.497,1.67,71.9357,0
12.4,31.2,22.5,40,219.5659,248.614,67.72,1.389,1.571,70.8228,0
12.4,31.2,25,40,218.5826,243.312,68.62,1.382,1.572,71.3398,0
12.4,32.4,20,40,225.0836,291.947,77.45,1.652,1.822,82.3183,1
12.4,32.4,22.5,40,224.1003,291.761,78.48,1.629,1.799,82.3691,1
12.4,32.4,25,40,223.117,282.251,78.28,1.748,1.935,82.4067,1
12.4,30,20,35,213.28,203.191,40.56,0.869,0.931,56.9734,0
12.4,30,22.5,35,212.2967,201.586,39.86,0.748,0.82,58.8529,0
12.4,30,25,35,211.3134,199.717,39.01,0.694,0.773,56.1593,0
12.4,31.2,20,35,217.8144,238.682,50.56,0.992,1.066,72.3776,0
12.4,31.2,22.5,35,216.8311,240.235,49.83,0.955,1.032,71.8108,0
12.4,31.2,25,35,215.8478,233.573,48.4,0.904,0.979,71.9127,0
12.4,32.4,20,35,222.3487,278.323,65.76,1.123,1.177,82.4678,1
12.4,32.4,22.5,35,221.3655,280.506,68.58,1.107,1.186,82.3274,1
12.4,32.4,25,35,220.3822,269.018,65.3,1.079,1.173,82.4155,1
12.6,30,20,45,219.2212,218.205,76.19,2.034,2.657,57.1519,0
12.6,30,22.5,45,218.2379,215.982,75.05,1.798,2.399,58.3151,0
12.6,30,25,45,217.2546,216.522,74.69,1.802,2.429,56.4663,0
12.6,31.2,20,45,223.7173,257.954,91.29,2.579,3.321,72.5144,0
12.6,31.2,22.5,45,222.7723,261.299,90.75,2.407,3.121,70.454,0
12.6,31.2,25,45,221.789,258.211,92.6,2.491,3.268,70.8371,0
12.6,32.4,20,45,228.2899,306.003,103.9,2.728,3.394,82.3644,1
12.6,32.4,22.5,45,227.3066,308.531,102.1,2.586,3.247,82.2811,1
12.6,32.4,25,45,226.3234,300.605,105.7,2.695,3.445,82.4172,1
12.6,30,20,40,216.0148,199.135,38.72,0.759,0.807,57.5722,0
12.6,30,22.5,40,215.0315,199.862,39.7,0.713,0.776,55.4736,0
12.6,30,25,40,214.0482,197.132,38.05,0.644,0.708,54.9324,0
12.6,31.2,20,40,220.5492,236.461,57.04,1.184,1.298,71.7863,0
12.6,31.2,22.5,40,219.5659,237.483,58.39,1.096,1.208,71.8878,0
12.6,31.2,25,40,218.5826,234.81,58.24,1.076,1.196,70.91,0
12.6,32.4,20,40,225.0836,279.254,72.33,1.353,1.455,82.3342,1
12.6,32.4,22.5,40,224.1003,279.853,74.22,1.313,1.426,82.1968,1
12.6,32.4,25,40,223.117,272.986,73.71,1.403,1.538,82.3854,1
12.6,30,20,35,213.28,194.892,33.29,0.554,0.573,57.368,0
12.6,30,22.5,35,212.2967,193.415,32.17,0.457,0.48,55.913,0
12.6,30,25,35,211.3134,192.468,27.21,0.442,0.467,55.7976,0
12.6,31.2,20,35,217.8144,223.957,43.02,0.727,0.749,71.4016,0
12.6,31.2,22.5,35,216.8311,229.446,43.85,0.687,0.712,70.1942,0
12.6,31.2,25,35,215.8478,226.232,43.21,0.687,0.721,70.4931,0
12.6,32.4,20,35,222.3487,272.169,58.19,0.988,1.022,82.3899,1
12.6,32.4,22.5,35,221.3655,268.019,54.54,0.86,0.91,82.4135,1
12.6,32.4,25,35,220.3822,263.214,62.34,0.914,0.969,82.3028,1
